timestamp,latitude,longitude,elevation
2015-08-23T17:39:06+00:00,38.064067,-121.787321,0.0
2015-08-23T17:39:08+00:00,38.06395,-121.787376,0.0
2015-08-23T17:39:10+00:00,38.063819,-121.787401,0.0
2015-08-23T17:39:15+00:00,38.063782,-121.787338,0.0
2015-08-23T17:39:19+00:00,38.063788,-121.787269,0.0
2015-08-23T17:39:31+00:00,38.063756,-121.787172,0.0
2015-08-23T17:39:42+00:00,38.063702,-121.787084,0.0
2015-08-23T17:39:48+00:00,38.063628,-121.787083,0.0
2015-08-23T17:39:55+00:00,38.063582,-121.787017,0.0
2015-08-23T17:39:58+00:00,38.063491,-121.787031,0.0
2015-08-23T17:40:00+00:00,38.063417,-121.787069,0.0
2015-08-23T17:40:02+00:00,38.06334,-121.78712,0.0
2015-08-23T17:40:04+00:00,38.063251,-121.787176,0.0
2015-08-23T17:40:06+00:00,38.063155,-121.78725,0.0
2015-08-23T17:40:08+00:00,38.063047,-121.787325,0.0
2015-08-23T17:40:09+00:00,38.062989,-121.787362,0.0
2015-08-23T17:40:10+00:00,38.062933,-121.787402,0.0
2015-08-23T17:40:11+00:00,38.062875,-121.787443,0.0
2015-08-23T17:40:12+00:00,38.062818,-121.787486,0.0
2015-08-23T17:40:13+00:00,38.062759,-121.787528,0.0
2015-08-23T17:40:14+00:00,38.062699,-121.78757,0.0
2015-08-23T17:40:15+00:00,38.062642,-121.787614,0.0
2015-08-23T17:40:16+00:00,38.062587,-121.787661,0.0
2015-08-23T17:40:17+00:00,38.062531,-121.787706,0.0
2015-08-23T17:40:18+00:00,38.062474,-121.787753,0.0
2015-08-23T17:40:19+00:00,38.062418,-121.787801,0.0
2015-08-23T17:40:20+00:00,38.062363,-121.78785,0.0
2015-08-23T17:40:21+00:00,38.062306,-121.787899,0.0
2015-08-23T17:40:22+00:00,38.062248,-121.78795,0.0
2015-08-23T17:40:23+00:00,38.06219,-121.788003,0.0
2015-08-23T17:40:24+00:00,38.062133,-121.788059,0.0
2015-08-23T17:40:25+00:00,38.062076,-121.788112,0.0
2015-08-23T17:40:26+00:00,38.062022,-121.788167,0.0
2015-08-23T17:40:27+00:00,38.061971,-121.788224,0.0
2015-08-23T17:40:28+00:00,38.061921,-121.78828,0.0
2015-08-23T17:40:29+00:00,38.06187,-121.78834,0.0
2015-08-23T17:40:30+00:00,38.061822,-121.788403,0.0
2015-08-23T17:40:31+00:00,38.061774,-121.788466,0.0
2015-08-23T17:40:32+00:00,38.061725,-121.788522,0.0
